indice_tiempo_instruccion,fecha_zarpada,pais_zarpada_id,pais_zarpada_nombre,puerto_zarpada_nombre,puerto_zarpada_latitud,puerto_zarpada_longitud,indice_tiempo_arribo,pais_arribo_id,pais_arribo_nombre,puerto_arribo_nombre,puerto_arribo_latitud,puerto_arribo_longitud,dias_navegacion,dias_puerto,millas_nauticas
1980,1980-06-04,203,Republica Federativa de Brasil,Salvador de Bahia,-12° 58´ 16´´ (S),-038° 30´ 05´´ (W),1980-06-20,223,Estado Libre Asociado de Puerto Rico,Municipio Autonomo de San Juan,+18° 27´ 27´´ (N),-066° 12´ 32´´ (W),16,5,3077
1980,1980-06-25,223,Estado Libre Asociado de Puerto Rico,Municipio Autonomo de San Juan,+18° 27´ 27´´ (N),-066° 12´ 32´´ (W),1980-07-03,212,Estados Unidos de America,Nueva York,+40° 42´ 19´´ (N),-074° 01´ 03´´ (W),8,8,1398
1980,1980-07-11,212,Estados Unidos de America,Nueva York,+40° 42´ 19´´ (N),-074° 01´ 03´´ (W),1980-07-30,438,Republica Federal de Alemania,Bremen,+53° 04´ 31´´ (N),+008° 47´ 43´´ (E),19,7,3791
1980,1980-08-06,438,Republica Federal de Alemania,Bremen,+53° 04´ 31´´ (N),+008° 47´ 43´´ (E),1980-08-08,406,Reino de Belgica,Amberes,+51° 12´ 08´´ (N),+004° 22´58´´ (E),2,5,437
1980,1980-08-13,406,Reino de Belgica,Amberes,+51° 12´ 08´´ (N),+004° 22´58´´ (E),1980-08-21,410,Reino de Espania,Malaga,+36° 42´ 38´´ (N),-004° 25´ 29´´ (W),8,9,1475
1980,1980-08-30,410,Reino de Espania,Malaga,+36° 42´ 38´´ (N),-004° 25´ 29´´ (W),1980-09-03,412,Republica Francesa,Toulon,+43° 07´ 00´´ (N),+005° 56´ 00´´ (E),4,9,730
1980,1980-09-12,412,Republica Francesa,Toulon,+43° 07´ 00´´ (N),+005° 56´ 00´´ (E),1980-09-14,417,Republica Italiana,Civitavecchia,+42° 05´ 47´´ (N),+011° 47´ 14´´ (E),2,8,291
1980,1980-09-22,417,Republica Italiana,Civitavecchia,+42° 05´ 47´´ (N),+011° 47´ 14´´ (E),1980-09-26,413,Republica Helenica,El Pireo,+37° 57´ 00´´ (N),+011° 47´ 14´´ (E),4,5,829
1980,1980-10-01,413,Republica Helenica,El Pireo,+37° 57´ 00´´ (N),+011° 47´ 14´´ (E),1980-10-03,113,Republica arabe de Egipto,Alejandria,+31° 11´ 57´´ (N),+029° 53´ 43´´ (E),2,6,529
1980,1980-10-09,113,Republica arabe de Egipto,Alejandria,+31° 11´ 57´´ (N),+029° 53´ 43´´ (E),1980-10-17,410,Reino de Espania,Palma de Mallorca,+33° 33´ 02´´ (N),+002° 37´ 29´´ (E),8,3,1511
1980,1980-10-20,410,Reino de Espania,Palma de Mallorca,+33° 33´ 02´´ (N),+002° 37´ 29´´ (E),1980-10-26,410,Reino de Espania,Santa Cruz de Tenerife,+28° 29´ 02´´ (N),-016° 14´ 55´´ (W),6,4,1157
1980,1980-10-30,410,Reino de Espania,Santa Cruz de Tenerife,+28° 29´ 02´´ (N),-016° 14´ 55´´ (W),1980-11-17,203,Republica Federativa de Brasil,Santos,-23° 58´ 25´´ (S),-046° 19´ 14´´ (W),18,4,3744
1980,1980-11-21,203,Republica Federativa de Brasil,Santos,-23° 58´ 25´´ (S),-046° 19´ 14´´ (W),1980-11-28,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),7,,1016
1981,1981-04-21,200,Republica Argentina,Buenos Aires,-34° 35´ 40´´ (S),-058° 21´ 59´´ (W),1981-05-05,203,Republica Federativa de Brasil,Fortaleza,-03° 43´ 51´´ (S),-038° 36´ 51´´ (W),14,3,2714
1981,1981-05-08,203,Republica Federativa de Brasil,Fortaleza,-03° 43´ 51´´ (S),-038° 36´ 51´´ (W),1981-05-20,209,Republica Dominicana,Santo Domingo,+18° 28´ 17´´ (N),-069° 52´ 29´´ (W),12,3,2314
1981,1981-05-23,209,Republica Dominicana,Santo Domingo,+18° 28´ 17´´ (N),-069° 52´ 29´´ (W),1981-05-29,663,Bermudas,Hamilton,+32° 16´ 59´´ (N),-064° 46´ 00´´ (W),6,3,1036
1981,1981-06-01,663,Bermudas,Hamilton,+32° 16´ 59´´ (N),-064° 46´ 00´´ (W),1981-06-06,212,Estados Unidos de America,Baltimore,+39° 16´ 52´´ (N),-076° 35´ 44´´ (W),5,9,821
1981,1981-06-15,212,Estados Unidos de America,Baltimore,+39° 16´ 52´´ (N),-076° 35´ 44´´ (W),1981-06-18,212,Estados Unidos de America,Portsmunth,+43° 03´ 41´´ (N),-070° 43´ 04´´ (W),3,2,717
1981,1981-06-20,212,Estados Unidos de America,Portsmouth,+43° 03´ 41´´ (N),-070° 43´ 04´´ (W),1981-06-22,204,Canada,Halifax,+44° 37´ 32´´ (N),-063° 34´ 25´´ (W),2,3,412
1981,1981-06-25,204,Canada,Halifax,+44° 37´ 32´´ (N),-063° 34´ 25´´ (W),1981-07-10,426,Reino Unido de Gran Bretania e Irlanda del Norte,Londres,+51° 30´ 27´´ (N),-000° 07´ 20´´ (W),15,6,2848
1981,1981-07-16,426,Reino Unido de Gran Bretania e Irlanda del Norte,Londres,+51° 30´ 27´´ (N),-000° 07´ 20´´ (W),1981-07-20,409,Reino de Dinamarca,Copenhague,+55° 40´ 17´´ (N),+012° 34´ 43´´ (E),4,4,783
1981,1981-07-24,409,Reino de Dinamarca,Copenhague,+55° 40´ 17´´ (N),+012° 34´ 43´´ (E),1981-07-27,438,Republica Federal de Alemania,Hamburgo,+53° 32´ 51´´ (N),+009° 58´ 09´´ (E),3,8,527
